-------------------------------
T_j^H 	 T_j^L 	 CC_i'
31 	 56 	 870
32 	 56 	 874
33 	 56 	 874
34 	 56 	 879
35 	 56 	 879
36 	 56 	 885
37 	 56 	 885
38 	 56 	 885
39 	 56 	 889
40 	 56 	 889
41 	 56 	 889
42 	 56 	 895
43 	 56 	 895
44 	 56 	 895
45 	 56 	 895
46 	 56 	 899
47 	 56 	 899
48 	 56 	 899
49 	 56 	 899
50 	 56 	 905
51 	 56 	 905
52 	 56 	 905
53 	 56 	 905
54 	 56 	 905
10 	 57 	 705
11 	 57 	 725
12 	 57 	 745
13 	 57 	 760
14 	 57 	 774
15 	 57 	 785
16 	 57 	 795
17 	 57 	 805
18 	 57 	 814
19 	 57 	 820
20 	 57 	 830
21 	 57 	 834
22 	 57 	 840
23 	 57 	 844
24 	 57 	 850
25 	 57 	 854
26 	 57 	 854
27 	 57 	 860
28 	 57 	 864
29 	 57 	 864
30 	 57 	 870
31 	 57 	 870
32 	 57 	 874
33 	 57 	 874
34 	 57 	 879
35 	 57 	 879
36 	 57 	 885
37 	 57 	 885
38 	 57 	 885
39 	 57 	 889
40 	 57 	 889
41 	 57 	 889
42 	 57 	 895
43 	 57 	 895
44 	 57 	 895
45 	 57 	 895
46 	 57 	 899
47 	 57 	 899
48 	 57 	 899
49 	 57 	 899
50 	 57 	 905
51 	 57 	 905
52 	 57 	 905
53 	 57 	 905
54 	 57 	 905
55 	 57 	 905
10 	 58 	 705
11 	 58 	 725
12 	 58 	 745
13 	 58 	 760
14 	 58 	 774
15 	 58 	 785
16 	 58 	 795
17 	 58 	 805
18 	 58 	 814
19 	 58 	 820
20 	 58 	 830
21 	 58 	 834
22 	 58 	 840
23 	 58 	 844
24 	 58 	 850
25 	 58 	 854
26 	 58 	 854
27 	 58 	 860
28 	 58 	 864
29 	 58 	 864
30 	 58 	 870
31 	 58 	 870
32 	 58 	 874
33 	 58 	 874
34 	 58 	 879
35 	 58 	 879
36 	 58 	 885
37 	 58 	 885
38 	 58 	 885
39 	 58 	 889
40 	 58 	 889
41 	 58 	 889
42 	 58 	 895
43 	 58 	 895
44 	 58 	 895
45 	 58 	 895
46 	 58 	 899
47 	 58 	 899
48 	 58 	 899
49 	 58 	 899
50 	 58 	 905
51 	 58 	 905
52 	 58 	 905
53 	 58 	 905
54 	 58 	 905
55 	 58 	 905
56 	 58 	 910
10 	 59 	 705
11 	 59 	 725
12 	 59 	 745
13 	 59 	 760
14 	 59 	 774
15 	 59 	 785
16 	 59 	 795
17 	 59 	 805
18 	 59 	 814
19 	 59 	 820
20 	 59 	 830
21 	 59 	 834
22 	 59 	 840
23 	 59 	 844
24 	 59 	 850
25 	 59 	 854
26 	 59 	 854
27 	 59 	 860
28 	 59 	 864
29 	 59 	 864
30 	 59 	 870
31 	 59 	 870
32 	 59 	 874
33 	 59 	 874
34 	 59 	 879
35 	 59 	 879
36 	 59 	 885
37 	 59 	 885
38 	 59 	 885
39 	 59 	 889
40 	 59 	 889
41 	 59 	 889
42 	 59 	 895
43 	 59 	 895
44 	 59 	 895
45 	 59 	 895
46 	 59 	 899
47 	 59 	 899
48 	 59 	 899
49 	 59 	 899
50 	 59 	 905
51 	 59 	 905
52 	 59 	 905
53 	 59 	 905
54 	 59 	 905
55 	 59 	 905
56 	 59 	 910
57 	 59 	 910
10 	 60 	 705
11 	 60 	 725
12 	 60 	 745
13 	 60 	 760
14 	 60 	 774
15 	 60 	 785
16 	 60 	 795
17 	 60 	 805
18 	 60 	 814
19 	 60 	 820
20 	 60 	 830
21 	 60 	 834
22 	 60 	 840
23 	 60 	 844
24 	 60 	 850
25 	 60 	 854
26 	 60 	 854
27 	 60 	 860
28 	 60 	 864
29 	 60 	 864
